private_key,public_x,public_y,vertex_index
933,12590,53192,12546
934,7916,60262,7886
935,27657,8444,27612
936,14116,6296,14014
937,40407,52611,40319
938,22970,51838,22984
939,14828,23517,14730
940,13597,41252,13497
941,20958,23289,20918
942,64310,18458,64004
943,18058,55341,18011
944,11113,29105,11065
945,20089,40466,20022
946,45404,62389,45248
947,4982,24543,4941
948,39597,45165,39501
949,55479,52989,55234
950,10020,35985,9950
951,46488,15960,46371
952,6040,21615,6022
953,17413,11691,17365
954,9090,34715,9062
955,55842,61066,55643
956,53241,34463,53062
957,54343,62728,54130
958,18076,42104,18032
959,55874,64266,55679
960,27914,41972,27872
961,1519,35893,1494
962,9601,58085,9537
963,55319,18657,55075
964,25556,10767,25501
965,65395,10574,65096
966,8748,60137,8760
967,34661,10842,34676
968,8407,64382,8411
969,34513,53584,34542
970,2998,47284,2995
971,25362,20971,25321
972,62234,60844,61950
973,64338,55124,64036
974,57539,8956,57369
975,11317,49626,11287
976,3747,62695,3731
977,10578,38878,10520
978,22387,3069,22392
979,1623,16939,1598
980,40457,54473,40364
981,19787,7450,19706
982,39489,14309,39382
983,24522,20303,24519
984,48847,10469,48670
985,7649,51311,7598
986,8554,7334,8559
987,16833,10547,16780
988,8620,37598,8620
989,17595,49700,17539
990,54801,30074,54580
991,15495,52666,15381
992,808,38798,796
993,30922,14606,30941
994,607,30142,596
995,49566,36767,49362
996,35979,27308,35975
997,27333,56237,27274
998,22072,53112,22062
999,48767,55162,48592
1000,44478,65259,44351
